,Unnamed: 0,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
381641,400,1,1,489,21500492,,,4:45,4,5.0,5,0,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,201587,Nicolas Batum,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,94 - 94,TIE,Williams 24' 3PT Jump Shot (17 PTS) (Batum 7 AST),9:36 PM
381642,401,101,2,491,21500492,MISS DeRozan 8' Driving Floating Jump Shot,,4:19,4,4.0,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:37 PM
381643,402,0,4,492,21500492,,,4:18,4,5.0,0,0,203469,Cody Zeller,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,Zeller REBOUND (Off:4 Def:5),9:37 PM
381644,403,66,2,493,21500492,,,4:07,4,5.0,0,0,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,MISS Williams 24' 3PT Jump Bank Shot,9:37 PM
381645,404,0,4,494,21500492,,,4:06,4,5.0,0,0,203087,Jeremy Lamb,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,Lamb REBOUND (Off:2 Def:4),9:37 PM
381646,405,1,6,495,21500492,Lowry P.FOUL (P4.T4) (M.Boland),,4:03,4,4.0,5,1,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,,,,9:37 PM
381647,406,0,8,496,21500492,SUB: Carroll FOR Patterson,,4:03,4,4.0,4,0,202335,Patrick Patterson,TOR,Toronto,1610612761.0,Raptors,201960,DeMarre Carroll,TOR,Toronto,1610612761.0,Raptors,0,,,,,,,,,9:37 PM
381648,407,79,2,497,21500492,,,3:40,4,5.0,0,0,202689,Kemba Walker,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,MISS Walker 18' Pullup Jump Shot,9:38 PM
381649,408,0,4,498,21500492,Biyombo REBOUND (Off:2 Def:6),,3:40,4,4.0,0,0,202687,Bismack Biyombo,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:38 PM
381650,409,80,1,499,21500492,Lowry 24' 3PT Step Back Jump Shot (16 PTS),,3:28,4,4.0,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,94 - 97,3,,9:38 PM
381651,410,101,2,500,21500492,,,3:05,4,5.0,0,0,203087,Jeremy Lamb,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,MISS Lamb 16' Driving Floating Jump Shot,9:39 PM
381652,411,0,4,501,21500492,Biyombo REBOUND (Off:2 Def:7),,3:04,4,4.0,0,0,202687,Bismack Biyombo,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:39 PM
381653,412,1,1,502,21500492,Carroll 24' 3PT Jump Shot (14 PTS) (Lowry 11 AST),,2:54,4,4.0,4,0,201960,DeMarre Carroll,TOR,Toronto,1610612761.0,Raptors,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,0,,,,,,94 - 100,6,,9:39 PM
381654,413,1,9,503,21500492,,,2:53,4,3.0,0,0,1610612766,,,,,,0,,,,,,0,,,,,,,,Hornets Timeout: Regular (Reg.5 Short 2),9:39 PM
381655,414,86,2,507,21500492,,,2:29,4,5.0,0,0,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,MISS Williams 17' Turnaround Fadeaway Shot,9:42 PM
381656,415,0,4,508,21500492,Biyombo REBOUND (Off:2 Def:8),,2:29,4,4.0,0,0,202687,Bismack Biyombo,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:42 PM
381657,416,2,5,509,21500492,Lowry Lost Ball Turnover (P6.T13),,2:11,4,4.0,5,0,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,202689,Kemba Walker,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,,,Walker STEAL (4 STL),9:42 PM
381658,417,1,5,510,21500492,Carroll STEAL (2 STL),,2:02,4,5.0,4,0,202689,Kemba Walker,CHA,Charlotte,1610612766.0,Hornets,201960,DeMarre Carroll,TOR,Toronto,1610612761.0,Raptors,0,,,,,,,,Walker Bad Pass Turnover (P2.T10),9:42 PM
381659,418,46,2,511,21500492,MISS Carroll 24' 3PT Running Jump Shot,,1:56,4,4.0,0,0,201960,DeMarre Carroll,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:42 PM
381660,419,0,4,512,21500492,,,1:54,4,5.0,0,0,201587,Nicolas Batum,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,Batum REBOUND (Off:0 Def:4),9:42 PM
381661,420,79,2,513,21500492,,,1:43,4,5.0,0,0,203087,Jeremy Lamb,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,MISS Lamb 25' 3PT Pullup Jump Shot,9:43 PM
381662,421,0,4,514,21500492,Ross REBOUND (Off:1 Def:4),,1:42,4,4.0,0,0,203082,Terrence Ross,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:43 PM
381663,422,86,2,515,21500492,MISS Lowry 15' Turnaround Fadeaway Shot,,1:21,4,4.0,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:43 PM
381664,423,0,4,516,21500492,,,1:20,4,3.0,0,0,1610612766,,,,,,0,,,,,,0,,,,,,,,Hornets Rebound,9:43 PM
381665,424,101,2,517,21500492,Biyombo BLOCK (4 BLK),,1:09,4,5.0,0,4,202689,Kemba Walker,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,202687,Bismack Biyombo,TOR,Toronto,1610612761.0,Raptors,,,MISS Walker 2' Driving Floating Jump Shot,9:43 PM
381666,425,0,4,518,21500492,Biyombo REBOUND (Off:2 Def:9),,1:08,4,4.0,0,0,202687,Bismack Biyombo,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:43 PM
381667,426,1,9,519,21500492,RAPTORS Timeout: Regular (Full 4 Short 1),,1:06,4,2.0,0,0,1610612761,,,,,,0,,,,,,0,,,,,,,,,9:43 PM
381668,427,0,8,521,21500492,,,1:06,4,5.0,5,0,203087,Jeremy Lamb,CHA,Charlotte,1610612766.0,Hornets,1626163,Frank Kaminsky,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,,,SUB: Kaminsky FOR Lamb,9:45 PM
381669,428,0,8,523,21500492,SUB: Valanciunas FOR Biyombo,,1:06,4,4.0,4,0,202687,Bismack Biyombo,TOR,Toronto,1610612761.0,Raptors,202685,Jonas Valanciunas,TOR,Toronto,1610612761.0,Raptors,0,,,,,,,,,9:45 PM
381670,429,101,2,524,21500492,MISS DeRozan 6' Driving Floating Jump Shot,,0:49,4,4.0,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:46 PM
381671,430,0,4,525,21500492,Valanciunas REBOUND (Off:7 Def:5),,0:48,4,4.0,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:46 PM
381672,431,97,2,526,21500492,MISS Valanciunas 2' Tip Layup Shot,,0:46,4,4.0,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:46 PM
381673,432,0,4,527,21500492,,,0:45,4,5.0,0,0,202689,Kemba Walker,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,Walker REBOUND (Off:0 Def:4),9:46 PM
381674,433,1,5,528,21500492,Lowry STEAL (2 STL),,0:41,4,5.0,4,0,201587,Nicolas Batum,CHA,Charlotte,1610612766.0,Hornets,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,0,,,,,,,,Batum Bad Pass Turnover (P5.T11),9:46 PM
381675,434,1,6,529,21500492,,,0:30,4,5.0,4,1,1626163,Frank Kaminsky,CHA,Charlotte,1610612766.0,Hornets,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,0,,,,,,,,Kaminsky P.FOUL (P4.T4) (M.Boland),9:46 PM
381676,435,0,8,531,21500492,,,0:30,4,5.0,5,0,1626163,Frank Kaminsky,CHA,Charlotte,1610612766.0,Hornets,203798,PJ Hairston,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,,,SUB: Hairston FOR Kaminsky,9:47 PM
381677,436,2,9,532,21500492,RAPTORS Timeout: Short (Full 4 Short 2),,0:30,4,2.0,0,0,1610612761,,,,,,0,,,,,,0,,,,,,,,,9:47 PM
381678,437,1,6,535,21500492,,,0:29,4,5.0,4,1,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,201942,DeMar DeRozan,TOR,Toronto,1610612761.0,Raptors,0,,,,,,,,Williams P.FOUL (P2.PN) (M.Boland),9:48 PM
381679,438,11,3,536,21500492,DeRozan Free Throw 1 of 2 (22 PTS),,0:29,4,4.0,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,94 - 101,7,,9:48 PM
381680,439,12,3,538,21500492,DeRozan Free Throw 2 of 2 (23 PTS),,0:29,4,4.0,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,94 - 102,8,,9:49 PM
381681,440,79,2,540,21500492,,,0:18,4,5.0,0,0,202689,Kemba Walker,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,MISS Walker 25' 3PT Pullup Jump Shot,9:49 PM
381682,441,0,4,541,21500492,Lowry REBOUND (Off:3 Def:3),,0:18,4,4.0,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:49 PM
381683,442,1,6,542,21500492,,,0:16,4,5.0,4,1,202689,Kemba Walker,CHA,Charlotte,1610612766.0,Hornets,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,0,,,,,,,,Walker P.FOUL (P1.PN) (M.Boland),9:49 PM
381684,443,11,3,543,21500492,Lowry Free Throw 1 of 2 (17 PTS),,0:16,4,4.0,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,94 - 103,9,,9:49 PM
381685,444,12,3,545,21500492,Lowry Free Throw 2 of 2 (18 PTS),,0:16,4,4.0,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,94 - 104,10,,9:50 PM
381686,445,1,2,548,21500492,,,0:06,4,5.0,0,0,203798,PJ Hairston,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,MISS Hairston 25' 3PT Jump Shot,9:50 PM
381687,446,0,4,549,21500492,Ross REBOUND (Off:1 Def:5),,0:04,4,4.0,0,0,203082,Terrence Ross,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:50 PM
381688,447,0,13,550,21500492,,,0:00,4,0.0,0,0,0,,,,,,0,,,,,,0,,,,,,94 - 104,10,,9:50 PM
